id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score,method
166,beginner,9,9,10,won,16,0,71,71,16,subset
167,beginner,9,9,10,won,17,0,71,71,17,subset
168,beginner,9,9,10,won,16,0,71,71,16,subset
169,beginner,9,9,10,won,29,0,71,71,29,subset
170,beginner,9,9,10,won,20,0,71,71,20,subset
171,beginner,9,9,10,won,20,0,71,71,20,subset
172,beginner,9,9,10,won,25,0,71,71,25,subset
173,beginner,9,9,10,won,15,0,71,71,15,subset
174,beginner,9,9,10,won,21,0,71,71,21,subset
175,beginner,9,9,10,won,16,0,71,71,16,subset
176,beginner,9,9,10,won,18,0,71,71,18,subset
177,beginner,9,9,10,won,20,0,71,71,20,subset
178,beginner,9,9,10,won,27,0,71,71,27,subset
179,beginner,9,9,10,won,21,0,71,71,21,subset
180,beginner,9,9,10,won,13,1,71,71,13,subset
181,beginner,9,9,10,won,14,0,71,71,14,subset
182,beginner,9,9,10,won,18,0,71,71,18,subset
183,beginner,9,9,10,won,22,0,71,71,22,subset
184,beginner,9,9,10,won,21,1,71,71,21,subset
185,beginner,9,9,10,won,15,0,71,71,15,subset
186,beginner,9,9,10,won,12,0,71,71,12,subset
187,beginner,9,9,10,won,15,0,71,71,15,subset
188,beginner,9,9,10,won,21,0,71,71,21,subset
189,beginner,9,9,10,won,18,0,71,71,18,subset
190,beginner,9,9,10,won,9,0,71,71,9,subset
191,beginner,9,9,10,won,12,0,71,71,12,subset
192,beginner,9,9,10,won,18,2,71,71,18,subset
193,beginner,9,9,10,won,21,0,71,71,21,subset
194,beginner,9,9,10,won,16,0,71,71,16,subset
195,beginner,9,9,10,won,12,0,71,71,12,subset
196,beginner,9,9,10,won,16,0,71,71,16,subset
197,beginner,9,9,10,won,26,0,71,71,26,subset
198,beginner,9,9,10,won,26,0,71,71,26,subset
199,beginner,9,9,10,won,11,0,71,71,11,subset
200,beginner,9,9,10,won,16,0,71,71,16,subset
201,beginner,9,9,10,won,22,1,71,71,22,subset
202,beginner,9,9,10,won,20,0,71,71,20,subset
203,beginner,9,9,10,won,18,0,71,71,18,subset
204,beginner,9,9,10,won,23,0,71,71,23,subset
205,beginner,9,9,10,won,23,0,71,71,23,subset
206,beginner,9,9,10,won,13,0,71,71,13,subset
207,beginner,9,9,10,won,19,0,71,71,19,subset
208,beginner,9,9,10,won,17,0,71,71,17,subset
209,beginner,9,9,10,won,14,0,71,71,14,subset
210,beginner,9,9,10,won,13,0,71,71,13,subset
211,beginner,9,9,10,won,14,0,71,71,14,subset
212,beginner,9,9,10,won,12,0,71,71,12,subset
213,beginner,9,9,10,won,21,0,71,71,21,subset
214,beginner,9,9,10,won,21,0,71,71,21,subset
215,beginner,9,9,10,won,16,1,71,71,16,subset
216,beginner,9,9,10,won,9,1,71,71,9,subset
217,beginner,9,9,10,won,22,1,71,71,22,subset
218,beginner,9,9,10,won,26,1,71,71,26,subset
