id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score
313,intermediate,16,16,40,lost,114,2,216,216,115
314,intermediate,16,16,40,won,76,0,216,216,76
315,intermediate,16,16,40,won,69,3,216,216,69
316,intermediate,16,16,40,won,89,1,216,216,89
317,intermediate,16,16,40,lost,95,1,216,216,96
318,intermediate,16,16,40,lost,26,1,100,216,143
319,intermediate,16,16,40,won,75,0,216,216,75
320,intermediate,16,16,40,lost,97,9,213,216,101
321,intermediate,16,16,40,lost,83,4,214,216,86
322,intermediate,16,16,40,lost,59,1,215,216,61
323,intermediate,16,16,40,lost,69,2,205,216,81
324,intermediate,16,16,40,lost,3,1,24,216,196
325,intermediate,16,16,40,won,79,2,216,216,79
326,intermediate,16,16,40,won,74,0,216,216,74
327,intermediate,16,16,40,won,71,0,216,216,71
328,intermediate,16,16,40,won,84,0,216,216,84
329,intermediate,16,16,40,won,84,0,216,216,84
330,intermediate,16,16,40,won,66,3,216,216,66
331,intermediate,16,16,40,won,91,2,216,216,91
332,intermediate,16,16,40,won,86,5,216,216,86
333,intermediate,16,16,40,won,88,0,216,216,88
334,intermediate,16,16,40,lost,109,2,214,216,112
335,intermediate,16,16,40,won,63,1,216,216,63
336,intermediate,16,16,40,won,78,0,216,216,78
337,intermediate,16,16,40,won,78,3,216,216,78
338,intermediate,16,16,40,won,73,0,216,216,73
339,intermediate,16,16,40,lost,90,6,216,216,91
340,intermediate,16,16,40,won,67,1,216,216,67
341,intermediate,16,16,40,lost,61,1,207,216,71
342,intermediate,16,16,40,won,65,2,216,216,65
343,intermediate,16,16,40,won,67,2,216,216,67
344,intermediate,16,16,40,won,83,0,216,216,83
345,intermediate,16,16,40,won,83,1,216,216,83
346,intermediate,16,16,40,lost,66,4,212,216,71
347,intermediate,16,16,40,lost,54,3,208,216,63
348,intermediate,16,16,40,won,55,0,216,216,55
349,intermediate,16,16,40,won,67,1,216,216,67
350,intermediate,16,16,40,won,66,5,216,216,66
351,intermediate,16,16,40,lost,63,2,205,216,75
352,intermediate,16,16,40,lost,66,2,215,216,68
353,intermediate,16,16,40,lost,64,1,200,216,81
354,intermediate,16,16,40,won,70,4,216,216,70
355,intermediate,16,16,40,lost,73,1,215,216,75
356,intermediate,16,16,40,lost,52,1,207,216,62
357,intermediate,16,16,40,lost,61,1,199,216,79
358,intermediate,16,16,40,won,85,3,216,216,85
359,intermediate,16,16,40,won,83,0,216,216,83
360,intermediate,16,16,40,lost,75,3,202,216,90
361,intermediate,16,16,40,lost,55,1,152,216,120
362,intermediate,16,16,40,won,64,1,216,216,64
363,intermediate,16,16,40,lost,74,1,215,216,76
364,intermediate,16,16,40,lost,2,1,16,216,203
365,intermediate,16,16,40,lost,77,3,207,216,87
366,intermediate,16,16,40,lost,80,2,216,216,81
367,intermediate,16,16,40,lost,65,2,191,216,91
368,intermediate,16,16,40,won,70,1,216,216,70
369,intermediate,16,16,40,lost,77,10,213,216,81
370,intermediate,16,16,40,lost,57,1,181,216,93
371,intermediate,16,16,40,lost,61,4,188,216,90
372,intermediate,16,16,40,won,87,0,216,216,87
373,intermediate,16,16,40,lost,6,4,41,216,182
374,intermediate,16,16,40,won,77,2,216,216,77
375,intermediate,16,16,40,won,103,0,216,216,103
376,intermediate,16,16,40,won,71,0,216,216,71
377,intermediate,16,16,40,won,66,1,216,216,66
378,intermediate,16,16,40,lost,66,1,211,216,72
379,intermediate,16,16,40,won,74,1,216,216,74
380,intermediate,16,16,40,lost,75,2,201,216,91
381,intermediate,16,16,40,lost,7,5,29,216,195
382,intermediate,16,16,40,lost,50,4,201,216,66
383,intermediate,16,16,40,won,81,3,216,216,81
384,intermediate,16,16,40,won,89,0,216,216,89
385,intermediate,16,16,40,lost,41,3,215,216,43
386,intermediate,16,16,40,lost,68,2,211,216,74
387,intermediate,16,16,40,lost,70,1,205,216,82
388,intermediate,16,16,40,lost,83,5,175,216,125
389,intermediate,16,16,40,won,76,0,216,216,76
390,intermediate,16,16,40,lost,77,2,213,216,81
391,intermediate,16,16,40,lost,73,2,215,216,75
392,intermediate,16,16,40,won,76,3,216,216,76
393,intermediate,16,16,40,won,88,0,216,216,88
394,intermediate,16,16,40,won,63,4,216,216,63
395,intermediate,16,16,40,won,70,0,216,216,70
396,intermediate,16,16,40,lost,69,10,191,216,95
397,intermediate,16,16,40,lost,77,3,208,216,86
398,intermediate,16,16,40,won,67,1,216,216,67
399,intermediate,16,16,40,won,86,1,216,216,86
400,intermediate,16,16,40,won,95,0,216,216,95
401,intermediate,16,16,40,won,91,0,216,216,91
402,intermediate,16,16,40,lost,49,3,212,216,54
403,intermediate,16,16,40,won,64,1,216,216,64
404,intermediate,16,16,40,won,66,0,216,216,66
405,intermediate,16,16,40,won,87,0,216,216,87
406,intermediate,16,16,40,won,73,0,216,216,73
407,intermediate,16,16,40,lost,50,1,190,216,77
408,intermediate,16,16,40,lost,77,2,210,216,84
409,intermediate,16,16,40,won,102,1,216,216,102
410,intermediate,16,16,40,won,86,0,216,216,86
411,intermediate,16,16,40,won,55,0,216,216,55
412,intermediate,16,16,40,lost,79,5,216,216,80
413,intermediate,16,16,40,won,77,1,216,216,77
414,intermediate,16,16,40,won,76,2,216,216,76
415,intermediate,16,16,40,won,72,0,216,216,72
416,intermediate,16,16,40,lost,2,1,13,216,206
417,intermediate,16,16,40,lost,4,3,18,216,203
418,intermediate,16,16,40,won,102,1,216,216,102
419,intermediate,16,16,40,won,94,0,216,216,94
420,intermediate,16,16,40,lost,62,1,213,216,66
421,intermediate,16,16,40,lost,68,2,205,216,80
422,intermediate,16,16,40,lost,60,1,191,216,86
423,intermediate,16,16,40,won,110,0,216,216,110
424,intermediate,16,16,40,lost,74,2,201,216,90
425,intermediate,16,16,40,lost,53,1,182,216,88
426,intermediate,16,16,40,lost,41,9,183,216,75
427,intermediate,16,16,40,lost,70,3,215,216,72
428,intermediate,16,16,40,lost,64,4,197,216,84
429,intermediate,16,16,40,won,85,0,216,216,85
430,intermediate,16,16,40,won,85,0,216,216,85
431,intermediate,16,16,40,won,72,1,216,216,72
432,intermediate,16,16,40,won,78,0,216,216,78
433,intermediate,16,16,40,won,76,0,216,216,76
434,intermediate,16,16,40,lost,57,1,182,216,92
435,intermediate,16,16,40,won,83,2,216,216,83
436,intermediate,16,16,40,lost,68,1,212,216,73
437,intermediate,16,16,40,lost,60,1,209,216,68
438,intermediate,16,16,40,won,84,0,216,216,84
439,intermediate,16,16,40,won,89,0,216,216,89
440,intermediate,16,16,40,lost,83,7,210,216,90
441,intermediate,16,16,40,won,91,0,216,216,91
442,intermediate,16,16,40,won,94,6,216,216,94
443,intermediate,16,16,40,won,79,4,216,216,79
444,intermediate,16,16,40,lost,69,3,202,216,84
445,intermediate,16,16,40,lost,69,3,213,216,73
446,intermediate,16,16,40,won,104,3,216,216,104
447,intermediate,16,16,40,lost,47,1,145,216,119
448,intermediate,16,16,40,lost,75,5,213,216,79
449,intermediate,16,16,40,won,81,1,216,216,81
450,intermediate,16,16,40,lost,13,1,79,216,151
451,intermediate,16,16,40,won,71,0,216,216,71
452,intermediate,16,16,40,lost,72,1,202,216,87
453,intermediate,16,16,40,won,79,0,216,216,79
454,intermediate,16,16,40,won,64,0,216,216,64
455,intermediate,16,16,40,lost,76,1,212,216,81
456,intermediate,16,16,40,won,90,0,216,216,90
457,intermediate,16,16,40,won,78,0,216,216,78
458,intermediate,16,16,40,lost,59,6,209,216,67
459,intermediate,16,16,40,lost,53,3,197,216,73
460,intermediate,16,16,40,lost,61,4,186,216,92
461,intermediate,16,16,40,won,53,1,216,216,53
462,intermediate,16,16,40,won,91,2,216,216,91
463,intermediate,16,16,40,won,104,0,216,216,104
464,intermediate,16,16,40,lost,71,1,206,216,82
465,intermediate,16,16,40,won,88,2,216,216,88
466,intermediate,16,16,40,won,57,1,216,216,57
467,intermediate,16,16,40,lost,74,1,206,216,85
468,intermediate,16,16,40,won,78,1,216,216,78
469,intermediate,16,16,40,lost,76,1,216,216,77
470,intermediate,16,16,40,won,81,0,216,216,81
471,intermediate,16,16,40,won,80,5,216,216,80
472,intermediate,16,16,40,lost,69,1,212,216,74
473,intermediate,16,16,40,won,107,4,216,216,107
474,intermediate,16,16,40,won,82,2,216,216,82
475,intermediate,16,16,40,won,83,0,216,216,83
476,intermediate,16,16,40,lost,47,2,197,216,67
477,intermediate,16,16,40,lost,33,2,141,216,109
478,intermediate,16,16,40,won,78,0,216,216,78
479,intermediate,16,16,40,won,84,1,216,216,84
480,intermediate,16,16,40,won,91,0,216,216,91
481,intermediate,16,16,40,won,70,1,216,216,70
482,intermediate,16,16,40,lost,3,2,14,216,206
483,intermediate,16,16,40,won,105,2,216,216,105
484,intermediate,16,16,40,won,85,4,216,216,85
485,intermediate,16,16,40,won,74,0,216,216,74
486,intermediate,16,16,40,lost,61,2,201,216,77
487,intermediate,16,16,40,lost,49,1,211,216,55
488,intermediate,16,16,40,lost,41,1,112,216,146
489,intermediate,16,16,40,lost,2,1,16,216,203
490,intermediate,16,16,40,lost,53,1,197,216,73
491,intermediate,16,16,40,won,78,0,216,216,78
492,intermediate,16,16,40,lost,88,7,210,216,95
493,intermediate,16,16,40,lost,60,1,183,216,94
494,intermediate,16,16,40,lost,48,1,199,216,66
495,intermediate,16,16,40,won,97,7,216,216,97
496,intermediate,16,16,40,lost,73,3,210,216,80
497,intermediate,16,16,40,won,88,0,216,216,88
498,intermediate,16,16,40,lost,66,4,209,216,74
499,intermediate,16,16,40,lost,4,3,20,216,201
500,intermediate,16,16,40,lost,61,4,205,216,73
501,intermediate,16,16,40,lost,66,4,195,216,88
502,intermediate,16,16,40,won,73,4,216,216,73
503,intermediate,16,16,40,won,83,3,216,216,83
504,intermediate,16,16,40,won,79,0,216,216,79
505,intermediate,16,16,40,lost,56,1,216,216,57
506,intermediate,16,16,40,lost,83,1,202,216,98
507,intermediate,16,16,40,lost,77,2,156,216,138
508,intermediate,16,16,40,won,74,3,216,216,74
509,intermediate,16,16,40,won,96,2,216,216,96
510,intermediate,16,16,40,won,80,0,216,216,80
511,intermediate,16,16,40,lost,96,6,207,216,106
512,intermediate,16,16,40,lost,99,1,201,216,115
513,intermediate,16,16,40,lost,69,1,211,216,75
514,intermediate,16,16,40,lost,4,3,21,216,200
515,intermediate,16,16,40,lost,88,2,215,216,90
516,intermediate,16,16,40,lost,76,2,207,216,86
517,intermediate,16,16,40,won,62,0,216,216,62
518,intermediate,16,16,40,won,60,1,216,216,60
519,intermediate,16,16,40,won,88,0,216,216,88
520,intermediate,16,16,40,lost,2,1,21,216,198
521,intermediate,16,16,40,won,78,1,216,216,78
522,intermediate,16,16,40,lost,62,1,212,216,67
523,intermediate,16,16,40,won,65,0,216,216,65
524,intermediate,16,16,40,lost,59,2,214,216,62
525,intermediate,16,16,40,won,58,0,216,216,58
526,intermediate,16,16,40,lost,54,1,162,216,109
527,intermediate,16,16,40,won,81,0,216,216,81
528,intermediate,16,16,40,won,90,2,216,216,90
529,intermediate,16,16,40,lost,58,1,193,216,82
530,intermediate,16,16,40,won,67,0,216,216,67
531,intermediate,16,16,40,won,88,4,216,216,88
532,intermediate,16,16,40,lost,53,2,147,216,123
533,intermediate,16,16,40,lost,69,1,201,216,85
534,intermediate,16,16,40,won,96,2,216,216,96
535,intermediate,16,16,40,lost,94,1,211,216,100
536,intermediate,16,16,40,lost,46,2,163,216,100
537,intermediate,16,16,40,won,82,4,216,216,82
538,intermediate,16,16,40,lost,39,3,183,216,73
539,intermediate,16,16,40,won,57,2,216,216,57
540,intermediate,16,16,40,won,84,5,216,216,84
541,intermediate,16,16,40,lost,52,1,208,216,61
542,intermediate,16,16,40,won,70,0,216,216,70
543,intermediate,16,16,40,lost,3,2,11,216,209
544,intermediate,16,16,40,lost,47,1,196,216,68
545,intermediate,16,16,40,lost,75,1,216,216,76
546,intermediate,16,16,40,lost,60,1,205,216,72
547,intermediate,16,16,40,won,78,4,216,216,78
548,intermediate,16,16,40,lost,48,1,146,216,119
549,intermediate,16,16,40,lost,74,2,208,216,83
550,intermediate,16,16,40,won,72,2,216,216,72
551,intermediate,16,16,40,won,107,1,216,216,107
552,intermediate,16,16,40,lost,76,1,190,216,103
553,intermediate,16,16,40,lost,54,1,216,216,55
554,intermediate,16,16,40,won,64,0,216,216,64
555,intermediate,16,16,40,won,60,0,216,216,60
556,intermediate,16,16,40,lost,66,5,201,216,82
557,intermediate,16,16,40,lost,80,1,212,216,85
558,intermediate,16,16,40,won,105,1,216,216,105
559,intermediate,16,16,40,lost,54,3,144,216,127
560,intermediate,16,16,40,won,87,1,216,216,87
