id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score,method,guess
217,beginner,9,9,10,won,23,2,71,71,23,naive,probability
218,beginner,9,9,10,lost,6,4,17,71,61,naive,probability
219,beginner,9,9,10,won,13,1,71,71,13,naive,probability
220,beginner,9,9,10,won,10,2,71,71,10,naive,probability
221,beginner,9,9,10,won,18,0,71,71,18,naive,probability
222,beginner,9,9,10,won,16,0,71,71,16,naive,probability
223,beginner,9,9,10,won,22,1,71,71,22,naive,probability
224,beginner,9,9,10,won,21,0,71,71,21,naive,probability
225,beginner,9,9,10,won,11,0,71,71,11,naive,probability
226,beginner,9,9,10,won,22,0,71,71,22,naive,probability
227,beginner,9,9,10,won,19,2,71,71,19,naive,probability
228,beginner,9,9,10,won,15,1,71,71,15,naive,probability
229,beginner,9,9,10,won,28,2,71,71,28,naive,probability
230,beginner,9,9,10,won,28,0,71,71,28,naive,probability
231,beginner,9,9,10,won,17,0,71,71,17,naive,probability
232,beginner,9,9,10,won,19,0,71,71,19,naive,probability
233,beginner,9,9,10,won,19,0,71,71,19,naive,probability
234,beginner,9,9,10,won,18,0,71,71,18,naive,probability
235,beginner,9,9,10,won,17,0,71,71,17,naive,probability
236,beginner,9,9,10,won,15,0,71,71,15,naive,probability
237,beginner,9,9,10,lost,15,1,71,71,16,naive,probability
238,beginner,9,9,10,won,14,0,71,71,14,naive,probability
239,beginner,9,9,10,won,15,0,71,71,15,naive,probability
240,beginner,9,9,10,won,20,0,71,71,20,naive,probability
241,beginner,9,9,10,won,15,2,71,71,15,naive,probability
242,beginner,9,9,10,won,22,0,71,71,22,naive,probability
243,beginner,9,9,10,won,17,0,71,71,17,naive,probability
244,beginner,9,9,10,won,19,0,71,71,19,naive,probability
245,beginner,9,9,10,won,23,2,71,71,23,naive,probability
246,beginner,9,9,10,won,20,0,71,71,20,naive,probability
247,beginner,9,9,10,won,20,0,71,71,20,naive,probability
248,beginner,9,9,10,won,12,2,71,71,12,naive,probability
249,beginner,9,9,10,won,14,2,71,71,14,naive,probability
250,beginner,9,9,10,won,28,1,71,71,28,naive,probability
251,beginner,9,9,10,won,12,1,71,71,12,naive,probability
252,beginner,9,9,10,won,12,0,71,71,12,naive,probability
253,beginner,9,9,10,won,11,0,71,71,11,naive,probability
254,beginner,9,9,10,won,22,0,71,71,22,naive,probability
255,beginner,9,9,10,won,23,0,71,71,23,naive,probability
256,beginner,9,9,10,won,17,0,71,71,17,naive,probability
257,beginner,9,9,10,won,10,0,71,71,10,naive,probability
